CommonName,Latitude,Longitude,ObservationDate,ObservationCondition,TransfToRehab,DiedAtSite,FinddingsOfHI
"Seal, harbor",46.852,-124.1141,2021-06-07,Condition Unknown,,,CBD
"Seal, harbor",47.215,-122.6611,2021-06-08,Fresh Dead,,,N
"Seal, harbor",47.2158,-122.6615,2021-06-08,Mummified/Skeletal,,,CBD
"Seal, harbor",46.993,-124.1745,2021-06-10,Fresh Dead,,,CBD
"Seal, harbor",48.2512,-122.39549,2021-06-13,Alive,Y,,N
"Seal, harbor",48.2512,-122.39.549,2021-06-13,Alive,Y,,N
"Seal, harbor",46.9464,-124.1326,2021-06-14,Alive,,,CBD
"Seal, harbor",47.2085,-122.745,2021-06-15,Condition Unknown,,,CBD
"Seal, harbor",48.6274,-122.9871,2021-06-18,Fresh Dead,,,N
"Seal, harbor",47.914568,-122.686128,2021-06-19,Fresh Dead,,,CBD
"Seal, harbor",46.995,-124.175,2021-06-20,Fresh Dead,,,CBD
"Seal, harbor",47.2214,-122.5959,2021-06-20,Condition Unknown,,,CBD
"Seal, harbor",48.6714,-122.9861,2021-06-21,Alive,,,CBD
"Seal, harbor",48.5902,-122.9665,2021-06-23,Alive,,,N
"Seal, harbor",48.7637,-122.9072,2021-06-23,Alive,Y,,Y
"Seal, harbor",48.4882,-123.0676,2021-06-23,Fresh Dead,,,CBD
"Seal, harbor",48.0023221,-122.8705174,2021-06-25,Alive,Y,,CBD
"Seal, harbor",48.6403,-122.4814,2021-06-25,Alive,Y,,Y
"Seal, harbor",48.4826,-123.0723,2021-06-25,Fresh Dead,,,CBD
"Seal, harbor",48.5885,-122.8013,2021-06-25,Moderate Decomposition,,,N
"Seal, harbor",48.7327,-123.0329,2021-06-25,Moderate Decomposition,,,N
"Seal, harbor",48.171,-122.717,2021-06-26,Alive,,,N
"Seal, harbor",46.4713,-124.06055,2021-06-26,Advanced Decomposition,,,CBD
"Seal, harbor",46.38661,-124.06366,2021-06-26,Condition Unknown,,,CBD
"Seal, harbor",47.1146,-122.8273,2021-06-26,Fresh Dead,,,CBD
"Seal, harbor",47.984731,-122.544317,2021-06-29,Moderate Decomposition,,,CBD
"Seal, harbor",47.5009,-122.3825,2021-06-29,Moderate Decomposition,,,CBD
"Seal, harbor",46.9622,-124.1725,2021-06-29,Alive,,,CBD
"Seal, harbor",48.5963,-123.1664,2021-06-30,Alive,,,N
"Seal, harbor",46.9315,-124.1018,2021-06-30,Advanced Decomposition,,,CBD
"Seal, harbor",47.8042,-122.3945,2021-07-01,Alive,Y,,CBD
"Seal, harbor",47.575735,-122.4204,2021-07-01,Advanced Decomposition,,,CBD
"Seal, harbor",47.3077,-122.5191,2021-07-01,Fresh Dead,,,CBD
"Seal, harbor",47.1519,-122.7423,2021-07-01,Fresh Dead,,,CBD
"Seal, harbor",48.8465,-122.591,2021-07-02,Alive,Y,,CBD
"Seal, harbor",48.6508,-123.1359,2021-07-03,Alive,,,N
"Seal, harbor",48.5186,-123.0125,2021-07-03,Advanced Decomposition,,,CBD
"Seal, harbor",47.3623,-123.1558,2021-07-03,Alive,,Y,CBD
"Seal, harbor",47.4034,-123.1416,2021-07-03,Moderate Decomposition,,,N
"Seal, harbor",48.6317,-122.9608,2021-07-05,Alive,,,N
"Seal, harbor",46.49194,-124.06017,2021-07-05,Condition Unknown,,,CBD
"Seal, harbor",48.108323,-122.405981,2021-07-06,Alive,Y,,CBD
"Seal, harbor",48.441788,-122.671842,2021-07-06,Alive,,,N
"Seal, harbor",47.2287,-122.5902,2021-07-06,Alive,Y,,Y
"Seal, harbor",46.9024,-124.1285,2021-07-06,Advanced Decomposition,,,CBD
"Seal, harbor",47.6052,-122.6952,2021-07-06,Advanced Decomposition,,,CBD
"Seal, harbor",48.108323,-122.405981,2021-07-07,Alive,Y,,N
