CommonName,Latitude,Longitude,ObservationDate,ObservationCondition,TransfToRehab,DiedAtSite,FinddingsOfHI
"Seal, harbor",48.5187,-123.0122,2021-10-01,Moderate Decomposition,,,CBD
"Seal, harbor",48.5413,-123.1595,2021-10-01,Moderate Decomposition,,,CBD
"Seal, harbor",47.59045,-122.3935,2021-10-01,Moderate Decomposition,,,CBD
"Seal, harbor",,,2021-10-05,Fresh Dead,,,N
"Seal, harbor",47.0,-124,2021-10-06,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-10-06,Fresh Dead,,,CBD
"Seal, harbor",48.0,-123,2021-10-07,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-10-07,Condition Unknown,,,CBD
"Seal, harbor",47.57204,-122.41318,2021-10-10,Advanced Decomposition,,,CBD
"Seal, harbor",48.127,-123.456,2021-10-13,Alive,,,CBD
"Seal, harbor",47.52564,-122.39567,2021-10-13,Advanced Decomposition,,,CBD
"Seal, harbor",,,2021-10-14,Fresh Dead,,,N
"Seal, harbor",47.0,-123,2021-10-14,Fresh Dead,,,CBD
"Seal, harbor",47.58335,-122.40174,2021-10-15,Alive,Y,,CBD
"Seal, harbor",48.0,-123,2021-10-17,Moderate Decomposition,,,CBD
"Seal, harbor",47.53928,-122.35789,2021-10-17,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-10-18,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-10-18,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-10-18,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-10-18,Condition Unknown,,,CBD
"Seal, harbor",48.5464,-123.0096,2021-10-21,Moderate Decomposition,,,CBD
"Seal, harbor",47.0,-124,2021-10-22,Alive,,,CBD
"Seal, harbor",,,2021-10-23,Advanced Decomposition,,,CBD
"Seal, harbor",48.134,-123.465,2021-10-23,Alive,Y,,Y
"Seal, harbor",47.34308,-122.456444,2021-10-25,Advanced Decomposition,,,CBD
"Seal, harbor",48.225599,-122.769214,2021-10-30,Fresh Dead,,,N
"Seal, harbor",48.592803,-122.696,2021-10-31,Moderate Decomposition,,,CBD
"Seal, harbor",46.5013,-124.03066,2021-11-02,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-11-02,Fresh Dead,,,CBD
"Seal, harbor",47.8405421,-122.6852693,2021-11-05,Fresh Dead,,,N
"Seal, harbor",48.00796,-122.86228,2021-11-08,Alive,,,CBD
"Seal, harbor",47.0,-123,2021-11-08,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-11-09,Fresh Dead,,,CBD
"Seal, harbor",48.0,-123,2021-11-12,Fresh Dead,,,Y
"Seal, harbor",48.0,-123,2021-11-16,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-11-16,Moderate Decomposition,,,CBD
"Seal, harbor",47.526583,-122.395611,2021-11-16,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-11-17,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-11-17,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-11-17,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-122,2021-11-26,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-12-02,Advanced Decomposition,,,CBD
"Seal, harbor",47.402659,-122.330845,2021-12-07,Alive,Y,,CBD
"Seal, harbor",47.0,-124,2021-12-12,Fresh Dead,,,CBD
"Seal, harbor",47.7455333,-122.55055,2021-12-16,Moderate Decomposition,,,Y
"Seal, harbor",47.58067,-122.40664,2021-12-27,Advanced Decomposition,,,CBD
